group1,group2,meandiff,p-adj,lower,upper,reject
GA,GAPSO,-3.5425,0.0,-5.3025,-1.7826,True
GA,PSO,-2.4827,0.001,-4.2426,-0.7227,True
GA,PSOGA,-1.9181,0.0239,-3.678,-0.1581,True
GA,QIGA,0.7859,0.7919,-0.9741,2.5458,False
GA,QPSO,-3.9328,0.0,-5.6928,-2.1729,True
GAPSO,PSO,1.0599,0.5104,-0.7001,2.8198,False
GAPSO,PSOGA,1.6245,0.0888,-0.1355,3.3844,False
GAPSO,QIGA,4.3284,0.0,2.5685,6.0883,True
GAPSO,QPSO,-0.3903,0.9879,-2.1502,1.3696,False
PSO,PSOGA,0.5646,0.9398,-1.1953,2.3245,False
PSO,QIGA,3.2685,0.0,1.5086,5.0285,True
PSO,QPSO,-1.4502,0.171,-3.2101,0.3098,False
PSOGA,QIGA,2.7039,0.0002,0.944,4.4639,True
PSOGA,QPSO,-2.0148,0.0147,-3.7747,-0.2548,True
QIGA,QPSO,-4.7187,0.0,-6.4786,-2.9588,True
