group1,group2,meandiff,p-adj,lower,upper,reject
GA,GAPSO,-1.8485,0.1938,-4.1499,0.4528,False
GA,PSO,-1.5147,0.4077,-3.816,0.7867,False
GA,PSOGA,0.6534,0.9639,-1.648,2.9547,False
GA,QIGA,-0.0218,1.0,-2.3232,2.2796,False
GA,QPSO,-1.3838,0.5121,-3.6851,0.9176,False
GAPSO,PSO,0.3338,0.9983,-1.9675,2.6352,False
GAPSO,PSOGA,2.5019,0.0245,0.2005,4.8033,True
GAPSO,QIGA,1.8267,0.2048,-0.4746,4.1281,False
GAPSO,QPSO,0.4648,0.9921,-1.8366,2.7661,False
PSO,PSOGA,2.1681,0.0774,-0.1333,4.4694,False
PSO,QIGA,1.4929,0.4245,-0.8085,3.7943,False
PSO,QPSO,0.1309,1.0,-2.1705,2.4323,False
PSOGA,QIGA,-0.6752,0.9585,-2.9765,1.6262,False
PSOGA,QPSO,-2.0371,0.1154,-4.3385,0.2642,False
QIGA,QPSO,-1.362,0.5301,-3.6633,0.9394,False
