group1,group2,meandiff,p-adj,lower,upper,reject
GA,GAPSO,-0.6532,0.0001,-1.0468,-0.2596,True
GA,PSO,-0.4658,0.0103,-0.8594,-0.0722,True
GA,PSOGA,0.0,1.0,-0.3936,0.3936,False
GA,QIGA,0.0,1.0,-0.3936,0.3936,False
GA,QPSO,-0.127,0.9382,-0.5206,0.2666,False
GAPSO,PSO,0.1874,0.7438,-0.2062,0.581,False
GAPSO,PSOGA,0.6532,0.0001,0.2596,1.0468,True
GAPSO,QIGA,0.6532,0.0001,0.2596,1.0468,True
GAPSO,QPSO,0.5262,0.0022,0.1326,0.9198,True
PSO,PSOGA,0.4658,0.0103,0.0722,0.8594,True
PSO,QIGA,0.4658,0.0103,0.0722,0.8594,True
PSO,QPSO,0.3388,0.1357,-0.0548,0.7324,False
PSOGA,QIGA,0.0,1.0,-0.3936,0.3936,False
PSOGA,QPSO,-0.127,0.9382,-0.5206,0.2666,False
QIGA,QPSO,-0.127,0.9382,-0.5206,0.2666,False
